Description,Data.Sugar Total,Data.Carbohydrate,Data.Fiber,Data.Kilocalories,Data.Fat.Saturated Fat
"MILK,LOWFAT,FLUID,1% MILKFAT,W/ VIT A",5.199999809,4.99,0.0,42,0.633
"MILK,LOWFAT,FLUID,1% MILKFAT,W/ NONFAT MILK SOL&VIT A",0.0,4.97,0.0,43,0.604
"MILK,LOWFAT,FLUID,1% MILKFAT,PROT FORT,W/ VIT A",0.0,5.52,0.0,48,0.728
"MILK,NONFAT,FLUID,W/ VIT A (FAT FREE OR SKIM)",5.090000153,4.96,0.0,34,0.051
"MILK,NONFAT,FLUID,W/ NONFAT MILK SOL&VIT A (FAT FREE/SKIM)",5.019999981,5.02,0.0,37,0.162
"MILK,NONFAT,FLUID,PROT FORT,W/ VIT A (FAT FREE/SKIM)",0.0,5.56,0.0,41,0.162
"MILK,BTTRMLK,FLUID,CULTURED,LOWFAT",4.789999962,4.79,0.0,40,0.548
"MILK,LOW SODIUM,FLUID",4.460000038,4.46,0.0,61,2.154
"MILK,DRY,WHOLE",38.41999817,38.42,0.0,496,16.742
"MILK,DRY,NONFAT,REG,WO/ VIT A",51.97999954,51.98,0.0,362,0.499
"MILK,DRY,NONFAT,INST,W/ VIT A",52.18999863,52.19,0.0,358,0.467
"MILK,DRY,NONFAT,CA RED",0.0,51.8,0.0,354,0.124
"MILK,BUTTERMILK,DRIED",49.0,49.0,0.0,387,3.598
"MILK,CND,COND,SWTND",54.40000153,54.4,0.0,321,5.486
"MILK,CND,EVAP,WO/ VIT A",10.03999996,10.04,0.0,134,4.591
"MILK,CND,EVAP,NONFAT",11.35000038,11.35,0.0,78,0.121
"MILK,CHOC,FLUID,COMM,",9.539999962,10.34,0.800000012,83,2.104
"MILK,CHOC,FLUID,COMM,RED FAT",9.550000191,12.13,0.699999988,76,1.177
"MILK,CHOC,FLUID,COMM,LOWFAT",9.93999958,10.44,0.5,63,0.616
"MILK,CHOC BEV,HOT COCOA,HOMEMADE",9.670000076,10.63,1.0,77,1.431
"MILK,GOAT,FLUID",4.449999809,4.45,0.0,69,2.667
"MILK,HUMAN,MATURE,FLUID",6.889999866,6.89,0.0,70,2.009
"MILK,INDIAN BUFFALO,FLUID",0.0,5.18,0.0,97,4.597
"MILK,SHEEP,FLUID",0.0,5.36,0.0,108,4.603
"MILK SHAKES,THICK CHOC",20.85000038,21.15,0.300000012,119,1.681
"MILK SHAKES,THICK VANILLA",17.75,17.75,0.0,112,1.886
"WHEY,ACID,FLUID",5.119999886,5.12,0.0,24,0.057
"WHEY,ACID,DRIED",73.44999695,73.45,0.0,339,0.342
"WHEY,SWEET,FLUID",5.139999866,5.14,0.0,27,0.23
"WHEY,SWEET,DRIED",74.45999908,74.46,0.0,353,0.684
"YOGURT,PLN,WHL MILK,8 GRAMS PROT PER 8 OZ",4.659999847,4.66,0.0,61,2.096
